Urdu Text,Roman Transliteration,Urdu Tokens,Roman Tokens
پہر ہماری جستجو ہونے لگی,phir hamārī justujū hone lagī,پ ہ ر   ہ م ا ر ی   ج س ت ج و   ہ و ن ے   ل گ ی,p h i r   h a m ā r ī   j u s t u j ū   h o n e   l a g ī
پہلے تو لگتی تہی کتنی بیگانہ,pahle tū lagtī thī kitnī begāna,پ ہ ل ے   ت و   ل گ ت ی   ت ہ ی   ک ت ن ی   ب ی گ ا ن ہ,p a h l e   t ū   l a g t ī   t h ī   k i t n ī   b e g ā n a
اہل ظاہر جس قدر چاہیں کریں بحث و جدال,ahlezāhir jis qadar chāheñ kareñ bahsojidāl,ا ہ ل   ظ ا ہ ر   ج س   ق د ر   چ ا ہ ی ں   ک ر ی ں   ب ح ث   و   ج د ا ل,a h l e z ā h i r   j i s   q a d a r   c h ā h e ñ   k a r e ñ   b a h s o j i d ā l
میں کل تنہا تہا خلقت سو رہی تہی,maiñ kal tanhā thā ḳhilqat so rahī thī,م ی ں   ک ل   ت ن ہ ا   ت ہ ا   خ ل ق ت   س و   ر ہ ی   ت ہ ی,m a i ñ   k a l   t a n h ā   t h ā   ḳ h i l q a t   s o   r a h ī   t h ī
پر تجہ سی کوئی شے نہیں ہے,par tujh sī koī shai nahīñ hai,پ ر   ت ج ہ   س ی   ک و ئ ی   ش ے   ن ہ ی ں   ہ ے,p a r   t u j h   s ī   k o ī   s h a i   n a h ī ñ   h a i
کوئی اواز نہ اہٹ نہ خیال ایسے میں,koī āvāz na aahat na ḳhayāl aise meñ,ک و ئ ی   ا و ا ز   ن ہ   ا ہ ٹ   ن ہ   خ ی ا ل   ا ی س ے   م ی ں,k o ī   ā v ā z   n a   a a h a t   n a   ḳ h a y ā l   a i s e   m e ñ
مری نظر سے تری جستجو کے صدقے میں,mirī nazar se tirī justujū ke sadqe meñ,م ر ی   ن ظ ر   س ے   ت ر ی   ج س ت ج و   ک ے   ص د ق ے   م ی ں,m i r ī   n a z a r   s e   t i r ī   j u s t u j ū   k e   s a d q e   m e ñ
دل کے دریا میں کوئی چاند اترتا ہی رہا,dil ke dariyā meñ koī chāñd utartā hī rahā,د ل   ک ے   د ر ی ا   م ی ں   ک و ئ ی   چ ا ن د   ا ت ر ت ا   ہ ی   ر ہ ا,d i l   k e   d a r i y ā   m e ñ   k o ī   c h ā ñ d   u t a r t ā   h ī   r a h ā
تجہے گہاٹا نہ ہونے دیں گے کاروبار الفت میں,tujhe ghātā na hone deñge kārobāreulfat meñ,ت ج ہ ے   گ ہ ا ٹ ا   ن ہ   ہ و ن ے   د ی ں   گ ے   ک ا ر و ب ا ر   ا ل ف ت   م ی ں,t u j h e   g h ā t ā   n a   h o n e   d e ñ g e   k ā r o b ā r e u l f a t   m e ñ
اج کی رات اجالے مرے ہمسایہ ہیں,aaj kī raat ujāle mire hamsāya haiñ,ا ج   ک ی   ر ا ت   ا ج ا ل ے   م ر ے   ہ م س ا ی ہ   ہ ی ں,a a j   k ī   r a a t   u j ā l e   m i r e   h a m s ā y a   h a i ñ
شب کٹ گئی فرقت کی دیکہا نہ فراقؔ اخر,shab kat gaī furqat kī dekhā na firāq āḳhir,ش ب   ک ٹ   گ ئ ی   ف ر ق ت   ک ی   د ی ک ہ ا   ن ہ   ف ر ا ق ؔ   ا خ ر,s h a b   k a t   g a ī   f u r q a t   k ī   d e k h ā   n a   f i r ā q   ā ḳ h i r
میں ڈہونڈہتا تہا دور خلاؤں میں ایک جسم,maiñ dhūñdhtā thā duur ḳhalāoñ meñ ek jism,م ی ں   ڈ ہ و ن ڈ ہ ت ا   ت ہ ا   د و ر   خ ل ا ؤ ں   م ی ں   ا ی ک   ج س م,m a i ñ   d h ū ñ d h t ā   t h ā   d u u r   ḳ h a l ā o ñ   m e ñ   e k   j i s m
کبہی فتراک میں تیرے کوئی نخچیر بہی تہا,kabhī fitrāk meñ tere koī naḳhchīr bhī thā,ک ب ہ ی   ف ت ر ا ک   م ی ں   ت ی ر ے   ک و ئ ی   ن خ چ ی ر   ب ہ ی   ت ہ ا,k a b h ī   f i t r ā k   m e ñ   t e r e   k o ī   n a ḳ h c h ī r   b h ī   t h ā
محرم ہے حباب اب رواں سورج کی کرن ہے اس پہ لپٹ,mahram hai habābeāberavāñ sūraj kī kiran hai us pe lipat,م ح ر م   ہ ے   ح ب ا ب   ا ب   ر و ا ں   س و ر ج   ک ی   ک ر ن   ہ ے   ا س   پ ہ   ل پ ٹ,m a h r a m   h a i   h a b ā b e ā b e r a v ā ñ   s ū r a j   k ī   k i r a n   h a i   u s   p e   l i p a t
بندگی میں بہی وہ ازادہ و خودبیں ہیں کہ ہم,bandagī meñ bhī vo āzāda o ḳhudbīñ haiñ ki ham,ب ن د گ ی   م ی ں   ب ہ ی   و ہ   ا ز ا د ہ   و   خ و د ب ی ں   ہ ی ں   ک ہ   ہ م,b a n d a g ī   m e ñ   b h ī   v o   ā z ā d a   o   ḳ h u d b ī ñ   h a i ñ   k i   h a m
ہم تو راضی ہیں وہ جس حال میں جیسا رکہے,ham to raazī haiñ vo jis haal meñ jaisā rakkhe,ہ م   ت و   ر ا ض ی   ہ ی ں   و ہ   ج س   ح ا ل   م ی ں   ج ی س ا   ر ک ہ ے,h a m   t o   r a a z ī   h a i ñ   v o   j i s   h a a l   m e ñ   j a i s ā   r a k k h e
دل بہ دست نگارے ندادہ رکہتے ہیں,dilebadastenigāre nadāda rakhte haiñ,د ل   ب ہ   د س ت   ن گ ا ر ے   ن د ا د ہ   ر ک ہ ت ے   ہ ی ں,d i l e b a d a s t e n i g ā r e   n a d ā d a   r a k h t e   h a i ñ
جنہیں سلیقہ ہے تہذیب غم سمجہنے کا,jinheñ salīqa hai tahzībeġham samajhne kā,ج ن ہ ی ں   س ل ی ق ہ   ہ ے   ت ہ ذ ی ب   غ م   س م ج ہ ن ے   ک ا,j i n h e ñ   s a l ī q a   h a i   t a h z ī b e ġ h a m   s a m a j h n e   k ā
یاراں وہ جو ہے میرا مسیحائے جان و دل,yārāñ vo jo hai merā masīhāejānodil,ی ا ر ا ں   و ہ   ج و   ہ ے   م ی ر ا   م س ی ح ا ئ ے   ج ا ن   و   د ل,y ā r ā ñ   v o   j o   h a i   m e r ā   m a s ī h ā e j ā n o d i l
گرچہ ہے دل کشا بہت حسن فرنگ کی بہار,garche hai dilkushā bahut husnefarañg kī bahār,گ ر چ ہ   ہ ے   د ل   ک ش ا   ب ہ ت   ح س ن   ف ر ن گ   ک ی   ب ہ ا ر,g a r c h e   h a i   d i l k u s h ā   b a h u t   h u s n e f a r a ñ g   k ī   b a h ā r
کچہ دل مرحوم کی باتیں کرو اے اہل علم,kuchh dilemarhūm kī bāteñ karo ai ahleilm,ک چ ہ   د ل   م ر ح و م   ک ی   ب ا ت ی ں   ک ر و   ا ے   ا ہ ل   ع ل م,k u c h h   d i l e m a r h ū m   k ī   b ā t e ñ   k a r o   a i   a h l e i l m
اک روز ملا تہا میں نسیم سحری سے,ik roz milā thā maiñ nasīmesaharī se,ا ک   ر و ز   م ل ا   ت ہ ا   م ی ں   ن س ی م   س ح ر ی   س ے,i k   r o z   m i l ā   t h ā   m a i ñ   n a s ī m e s a h a r ī   s e
کائی سی جم گئی ہے انکہوں پر,kaaī sī jam gaī hai āñkhoñ par,ک ا ئ ی   س ی   ج م   گ ئ ی   ہ ے   ا ن ک ہ و ں   پ ر,k a a ī   s ī   j a m   g a ī   h a i   ā ñ k h o ñ   p a r
اک دانش نورانی اک دانش برہانی,ik dānishenūrānī ik dānisheburhānī,ا ک   د ا ن ش   ن و ر ا ن ی   ا ک   د ا ن ش   ب ر ہ ا ن ی,i k   d ā n i s h e n ū r ā n ī   i k   d ā n i s h e b u r h ā n ī
کیا ستم ہے کہ اب تری صورت,kyā sitam hai ki ab tirī sūrat,ک ی ا   س ت م   ہ ے   ک ہ   ا ب   ت ر ی   ص و ر ت,k y ā   s i t a m   h a i   k i   a b   t i r ī   s ū r a t
ہیں اس کی گفتگو کے انداز محرمانہ,haiñ is kī guftugū ke andāz mahramāna,ہ ی ں   ا س   ک ی   گ ف ت گ و   ک ے   ا ن د ا ز   م ح ر م ا ن ہ,h a i ñ   i s   k ī   g u f t u g ū   k e   a n d ā z   m a h r a m ā n a
کیوں شاہد گل باغ سے بازار میں اوے,kyuuñ shāhidegul baaġh se bāzār meñ aave,ک ی و ں   ش ا ہ د   گ ل   ب ا غ   س ے   ب ا ز ا ر   م ی ں   ا و ے,k y u u ñ   s h ā h i d e g u l   b a a ġ h   s e   b ā z ā r   m e ñ   a a v e
کیا قیامت ہے کہ دنیا اسے سردار کہے,kyā qayāmat hai ki duniyā use sardār kahe,ک ی ا   ق ی ا م ت   ہ ے   ک ہ   د ن ی ا   ا س ے   س ر د ا ر   ک ہ ے,k y ā   q a y ā m a t   h a i   k i   d u n i y ā   u s e   s a r d ā r   k a h e
غالبؔ یہ خوف ہے کہ کہاں سے ادا کروں,ġhālib ye ḳhauf hai ki kahāñ se adā karūñ,غ ا ل ب ؔ   ی ہ   خ و ف   ہ ے   ک ہ   ک ہ ا ں   س ے   ا د ا   ک ر و ں,ġ h ā l i b   y e   ḳ h a u f   h a i   k i   k a h ā ñ   s e   a d ā   k a r ū ñ
چل نہ پڑیے تو پاؤں جلتے ہیں,chal na paḍiye to paañv jalte haiñ,چ ل   ن ہ   پ ڑ ی ے   ت و   پ ا ؤ ں   ج ل ت ے   ہ ی ں,c h a l   n a   p a ḍ i y e   t o   p a a ñ v   j a l t e   h a i ñ
سنبہال کر جسے رکہا ہے لا مکاں کے لیے,sambhāl kar jise rakkhā hai lāmakāñ ke liye,س ن ب ہ ا ل   ک ر   ج س ے   ر ک ہ ا   ہ ے   ل ا   م ک ا ں   ک ے   ل ی ے,s a m b h ā l   k a r   j i s e   r a k k h ā   h a i   l ā m a k ā ñ   k e   l i y e
کبہی کسی کو مکمل جہاں نہیں ملتا,kabhī kisī ko mukammal jahāñ nahīñ miltā,ک ب ہ ی   ک س ی   ک و   م ک م ل   ج ہ ا ں   ن ہ ی ں   م ل ت ا,k a b h ī   k i s ī   k o   m u k a m m a l   j a h ā ñ   n a h ī ñ   m i l t ā
جانتے ہیں سینۂ پر خوں کو زنداں خانہ ہم,jānte haiñ sīnaepurḳhūñ ko zindāñḳhana ham,ج ا ن ت ے   ہ ی ں   س ی ن ۂ   پ ر   خ و ں   ک و   ز ن د ا ں   خ ا ن ہ   ہ م,j ā n t e   h a i ñ   s ī n a e p u r ḳ h ū ñ   k o   z i n d ā ñ ḳ h a n a   h a m
جسے جینا ہو مرنے کے لیے تیار ہو جائے,jise jiinā ho marne ke liye tayyār ho jaae,ج س ے   ج ی ن ا   ہ و   م ر ن ے   ک ے   ل ی ے   ت ی ا ر   ہ و   ج ا ئ ے,j i s e   j i i n ā   h o   m a r n e   k e   l i y e   t a y y ā r   h o   j a a e
ہمیں تو یوں ہی ملے سخن کے صلے سڑک کے بیچ,hameñ to yūñhī mile suḳhan ke sile saḍak ke biich,ہ م ی ں   ت و   ی و ں   ہ ی   م ل ے   س خ ن   ک ے   ص ل ے   س ڑ ک   ک ے   ب ی چ,h a m e ñ   t o   y ū ñ h ī   m i l e   s u ḳ h a n   k e   s i l e   s a ḍ a k   k e   b i i c h
وحشتیں بڑہتی گئیں ہجر کے ازار کے ساتہ,vahshateñ baḍhtī gaiiñ hijr ke āzār ke saath,و ح ش ت ی ں   ب ڑ ہ ت ی   گ ئ ی ں   ہ ج ر   ک ے   ا ز ا ر   ک ے   س ا ت ہ,v a h s h a t e ñ   b a ḍ h t ī   g a i i ñ   h i j r   k e   ā z ā r   k e   s a a t h
عجیب رنگ میں اب کے بہار گزری ہے,ajiib rañg meñ ab ke bahār guzrī hai,ع ج ی ب   ر ن گ   م ی ں   ا ب   ک ے   ب ہ ا ر   گ ز ر ی   ہ ے,a j i i b   r a ñ g   m e ñ   a b   k e   b a h ā r   g u z r ī   h a i
چلتا پہرتا کوئی کاروبار ادمی,chaltā phirtā koī kārobār aadmī,چ ل ت ا   پ ہ ر ت ا   ک و ئ ی   ک ا ر و ب ا ر   ا د م ی,c h a l t ā   p h i r t ā   k o ī   k ā r o b ā r   a a d m ī
ایسی بازی ہارنے میں کیا خسارہ دیکہنا,aisī baazī hārne meñ kyā ḳhasāra dekhnā,ا ی س ی   ب ا ز ی   ہ ا ر ن ے   م ی ں   ک ی ا   خ س ا ر ہ   د ی ک ہ ن ا,a i s ī   b a a z ī   h ā r n e   m e ñ   k y ā   ḳ h a s ā r a   d e k h n ā
سو وہ مدت سے اب نہیں اتا,so vo muddat se ab nahīñ aatā,س و   و ہ   م د ت   س ے   ا ب   ن ہ ی ں   ا ت ا,s o   v o   m u d d a t   s e   a b   n a h ī ñ   a a t ā
کوئی جہونکا باد سحر کا تہا مرے پاس سے جو گزر گیا,koī jhoñkā bādesahar kā thā mire paas se jo guzar gayā,ک و ئ ی   ج ہ و ن ک ا   ب ا د   س ح ر   ک ا   ت ہ ا   م ر ے   پ ا س   س ے   ج و   گ ز ر   گ ی ا,k o ī   j h o ñ k ā   b ā d e s a h a r   k ā   t h ā   m i r e   p a a s   s e   j o   g u z a r   g a y ā
ائینے کو اٹہا کہ زمیں نم بہت ہے یاں,āīne ko uthā ki zamīñ nam bahut hai yaañ,ا ئ ی ن ے   ک و   ا ٹ ہ ا   ک ہ   ز م ی ں   ن م   ب ہ ت   ہ ے   ی ا ں,ā ī n e   k o   u t h ā   k i   z a m ī ñ   n a m   b a h u t   h a i   y a a ñ
ڈہونڈہے ہے تو پلکوں پہ چمکنے کے بہانے,dhūñdhe hai to palkoñ pe chamakne ke bahāne,ڈ ہ و ن ڈ ہ ے   ہ ے   ت و   پ ل ک و ں   پ ہ   چ م ک ن ے   ک ے   ب ہ ا ن ے,d h ū ñ d h e   h a i   t o   p a l k o ñ   p e   c h a m a k n e   k e   b a h ā n e
قیس ہو کوہ کن ہو یا حالیؔ,qais ho kohkan ho yā hālī,ق ی س   ہ و   ک و ہ   ک ن   ہ و   ی ا   ح ا ل ی ؔ,q a i s   h o   k o h k a n   h o   y ā   h ā l ī
ہوتا ہے نہاں گرد میں صحرا مرے ہوتے,hotā hai nihāñ gard meñ sahrā mire hote,ہ و ت ا   ہ ے   ن ہ ا ں   گ ر د   م ی ں   ص ح ر ا   م ر ے   ہ و ت ے,h o t ā   h a i   n i h ā ñ   g a r d   m e ñ   s a h r ā   m i r e   h o t e
کہ اس کے در پہ پہنچتے ہیں نامہ بر سے ہم اگے,ki us ke dar pe pahuñchte haiñ nāmabar se ham aage,ک ہ   ا س   ک ے   د ر   پ ہ   پ ہ ن چ ت ے   ہ ی ں   ن ا م ہ   ب ر   س ے   ہ م   ا گ ے,k i   u s   k e   d a r   p e   p a h u ñ c h t e   h a i ñ   n ā m a b a r   s e   h a m   a a g e
گر قصد سوئے دل ہے ترا اے نگاہ یار,gar qasd sūedil hai tirā ai nigāheyār,گ ر   ق ص د   س و ئ ے   د ل   ہ ے   ت ر ا   ا ے   ن گ ا ہ   ی ا ر,g a r   q a s d   s ū e d i l   h a i   t i r ā   a i   n i g ā h e y ā r
پڑیے گر بیمار تو کوئی نہ ہو تیماردار,paḍiye gar bīmār to koī na ho tīmārdār,پ ڑ ی ے   گ ر   ب ی م ا ر   ت و   ک و ئ ی   ن ہ   ہ و   ت ی م ا ر د ا ر,p a ḍ i y e   g a r   b ī m ā r   t o   k o ī   n a   h o   t ī m ā r d ā r
دل میں کچہ یوں سنبہالتا ہوں غم,dil meñ kuchh yuuñ sambhāltā huuñ ġham,د ل   م ی ں   ک چ ہ   ی و ں   س ن ب ہ ا ل ت ا   ہ و ں   غ م,d i l   m e ñ   k u c h h   y u u ñ   s a m b h ā l t ā   h u u ñ   ġ h a m
ستم ہو کہ ہو وعدۂ بے حجابی,sitam ho ki ho vadaebehijābī,س ت م   ہ و   ک ہ   ہ و   و ع د ۂ   ب ے   ح ج ا ب ی,s i t a m   h o   k i   h o   v a d a e b e h i j ā b ī
حکم سرکار کی پہنچ مت پوچہ,hukmesarkār kī pahuñch mat pūchh,ح ک م   س ر ک ا ر   ک ی   پ ہ ن چ   م ت   پ و چ ہ,h u k m e s a r k ā r   k ī   p a h u ñ c h   m a t   p ū c h h
جس پہ بہولے تہے ہم وہ بات نہیں,jis pe bhūle the ham vo baat nahīñ,ج س   پ ہ   ب ہ و ل ے   ت ہ ے   ہ م   و ہ   ب ا ت   ن ہ ی ں,j i s   p e   b h ū l e   t h e   h a m   v o   b a a t   n a h ī ñ
منہ چہپانا ہم سے چہوڑا چاہیے,muñh chhupānā ham se chhoḍā chāhiye,م ن ہ   چ ہ پ ا ن ا   ہ م   س ے   چ ہ و ڑ ا   چ ا ہ ی ے,m u ñ h   c h h u p ā n ā   h a m   s e   c h h o ḍ ā   c h ā h i y e
کیا کچہ نہ کیا اور ہیں کیا کچہ نہیں کرتے,kyā kuchh na kiyā aur haiñ kyā kuchh nahīñ karte,ک ی ا   ک چ ہ   ن ہ   ک ی ا   ا و ر   ہ ی ں   ک ی ا   ک چ ہ   ن ہ ی ں   ک ر ت ے,k y ā   k u c h h   n a   k i y ā   a u r   h a i ñ   k y ā   k u c h h   n a h ī ñ   k a r t e
اس کڑی دہوپ میں سایہ کر کے,is kaḍī dhuup meñ saaya kar ke,ا س   ک ڑ ی   د ہ و پ   م ی ں   س ا ی ہ   ک ر   ک ے,i s   k a ḍ ī   d h u u p   m e ñ   s a a y a   k a r   k e
ہو گیا اج رفیقوں سے گلے مل کے جدا,ho gayā aaj rafīqoñ se gale mil ke judā,ہ و   گ ی ا   ا ج   ر ف ی ق و ں   س ے   گ ل ے   م ل   ک ے   ج د ا,h o   g a y ā   a a j   r a f ī q o ñ   s e   g a l e   m i l   k e   j u d ā
بے تحاشا زبان سے نکلا,betahāshā zabān se niklā,ب ے   ت ح ا ش ا   ز ب ا ن   س ے   ن ک ل ا,b e t a h ā s h ā   z a b ā n   s e   n i k l ā
بے غرض جو دیا دیا تو نے,beġharaz jo diyā diyā tū ne,ب ے   غ ر ض   ج و   د ی ا   د ی ا   ت و   ن ے,b e ġ h a r a z   j o   d i y ā   d i y ā   t ū   n e
جستجو کی پہ دل گم شدہ پایا نہ گیا,justujū kī pe dilegumshuda paayā na gayā,ج س ت ج و   ک ی   پ ہ   د ل   گ م   ش د ہ   پ ا ی ا   ن ہ   گ ی ا,j u s t u j ū   k ī   p e   d i l e g u m s h u d a   p a a y ā   n a   g a y ā
رخصت ہوئی شباب کے ہم راہ زندگی,ruḳhsat huī shabāb ke hamrāh zindagī,ر خ ص ت   ہ و ئ ی   ش ب ا ب   ک ے   ہ م   ر ا ہ   ز ن د گ ی,r u ḳ h s a t   h u ī   s h a b ā b   k e   h a m r ā h   z i n d a g ī
تیری چشم فتنہ زا کی لیک گردش اور ہے,terī chashmefitnazā kī lek gardish aur hai,ت ی ر ی   چ ش م   ف ت ن ہ   ز ا   ک ی   ل ی ک   گ ر د ش   ا و ر   ہ ے,t e r ī   c h a s h m e f i t n a z ā   k ī   l e k   g a r d i s h   a u r   h a i
ساغر جم سے مرا جام سفال اچہا ہے,sāġharejam se mirā jāmesifāl achchhā hai,س ا غ ر   ج م   س ے   م ر ا   ج ا م   س ف ا ل   ا چ ہ ا   ہ ے,s ā ġ h a r e j a m   s e   m i r ā   j ā m e s i f ā l   a c h c h h ā   h a i
امیدیں ساری دنیا سے وسیمؔ اور خود میں ایسے غم,ummīdeñ saarī duniyā se vasīm aur ḳhud meñ aise ġham,ا م ی د ی ں   س ا ر ی   د ن ی ا   س ے   و س ی م ؔ   ا و ر   خ و د   م ی ں   ا ی س ے   غ م,u m m ī d e ñ   s a a r ī   d u n i y ā   s e   v a s ī m   a u r   ḳ h u d   m e ñ   a i s e   ġ h a m
موج مے کی اج رگ مینا کی گردن میں نہیں,maujemai kī aaj rag miinā kī gardan meñ nahīñ,م و ج   م ے   ک ی   ا ج   ر گ   م ی ن ا   ک ی   گ ر د ن   م ی ں   ن ہ ی ں,m a u j e m a i   k ī   a a j   r a g   m i i n ā   k ī   g a r d a n   m e ñ   n a h ī ñ
سر معمورۂ عالم یہ دل خانہ خراب,saremāmūraeālam ye dileḳhānaḳharāb,س ر   م ع م و ر ۂ   ع ا ل م   ی ہ   د ل   خ ا ن ہ   خ ر ا ب,s a r e m ā m ū r a e ā l a m   y e   d i l e ḳ h ā n a ḳ h a r ā b
تب ہم دونوں وقت چرا کر لاتے تہے,tab ham donoñ vaqt churā kar laate the,ت ب   ہ م   د و ن و ں   و ق ت   چ ر ا   ک ر   ل ا ت ے   ت ہ ے,t a b   h a m   d o n o ñ   v a q t   c h u r ā   k a r   l a a t e   t h e
غم کہانے میں بودا دل ناکام بہت ہے,ġham khāne meñ buudā dilenākām bahut hai,غ م   ک ہ ا ن ے   م ی ں   ب و د ا   د ل   ن ا ک ا م   ب ہ ت   ہ ے,ġ h a m   k h ā n e   m e ñ   b u u d ā   d i l e n ā k ā m   b a h u t   h a i
یہ بہی سچ ہے کوئی الفت میں پریشاں کیوں ہو,ye bhī sach hai koī ulfat meñ pareshāñ kyuuñ ho,ی ہ   ب ہ ی   س چ   ہ ے   ک و ئ ی   ا ل ف ت   م ی ں   پ ر ی ش ا ں   ک ی و ں   ہ و,y e   b h ī   s a c h   h a i   k o ī   u l f a t   m e ñ   p a r e s h ā ñ   k y u u ñ   h o
ہے اک دروازے بن دیوار دنیا,hai ik darvāze bin dīvāreduniyā,ہ ے   ا ک   د ر و ا ز ے   ب ن   د ی و ا ر   د ن ی ا,h a i   i k   d a r v ā z e   b i n   d ī v ā r e d u n i y ā
دل میں ڈر تہا ملال تہا کیا تہا,dil meñ dar thā malāl thā kyā thā,د ل   م ی ں   ڈ ر   ت ہ ا   م ل ا ل   ت ہ ا   ک ی ا   ت ہ ا,d i l   m e ñ   d a r   t h ā   m a l ā l   t h ā   k y ā   t h ā
جو یہ کہے کہ ریختہ کیونکے ہو رشک فارسی,jo ye kahe ki reḳhta kyūñke ho rashkefārsī,ج و   ی ہ   ک ہ ے   ک ہ   ر ی خ ت ہ   ک ی و ن ک ے   ہ و   ر ش ک   ف ا ر س ی,j o   y e   k a h e   k i   r e ḳ h t a   k y ū ñ k e   h o   r a s h k e f ā r s ī
زمانہ ہم سے بہلا دشمنی تو کیا رکہتا,zamāna ham se bhalā dushmanī to kyā rakhtā,ز م ا ن ہ   ہ م   س ے   ب ہ ل ا   د ش م ن ی   ت و   ک ی ا   ر ک ہ ت ا,z a m ā n a   h a m   s e   b h a l ā   d u s h m a n ī   t o   k y ā   r a k h t ā
بہت سے زرد چہروں پر غبار غم ہے کم بے شک پر ان کو مسکرانے میں ابہی کچہ دن لگیں گے,bahut se zard chehroñ par ġhubāreġham hai kam beshak par un ko muskurāne meñ abhī kuchh din lageñge,ب ہ ت   س ے   ز ر د   چ ہ ر و ں   پ ر   غ ب ا ر   غ م   ہ ے   ک م   ب ے   ش ک   پ ر   ا ن   ک و   م س ک ر ا ن ے   م ی ں   ا ب ہ ی   ک چ ہ   د ن   ل گ ی ں   گ ے,b a h u t   s e   z a r d   c h e h r o ñ   p a r   ġ h u b ā r e ġ h a m   h a i   k a m   b e s h a k   p a r   u n   k o   m u s k u r ā n e   m e ñ   a b h ī   k u c h h   d i n   l a g e ñ g e
