Urdu Text,Roman Transliteration
چراغ کو جو بچاتے تہے ان کا گہر بہی گیا,charāġh ko jo bachāte the un kā ghar bhī gayā
پکارتے رہے محفوظ کشتیوں والے,pukārte rahe mahfūz kashtiyoñ vaale
میں ڈوبتا ہوا دریا کے پار اتر بہی گیا,maiñ dūbtā huā dariyā ke paar utar bhī gayā
اب احتیاط کی دیوار کیا اٹہاتے ہو,ab ehtiyāt kī dīvār kyā uthāte ho
جو چور دل میں چہپا تہا وہ کام کر بہی گیا,jo chor dil meñ chhupā thā vo kaam kar bhī gayā
میں چپ رہا کہ اسی میں تہی عافیت جاں کی,maiñ chup rahā ki isī meñ thī āfiyat jaañ kī
کوئی تو میری طرح تہا جو دار پر بہی گیا,koī to merī tarah thā jo daar par bhī gayā
سلگتے سوچتے ویران موسموں کی طرح,sulagte sochte vīrān mausamoñ kī tarah
کڑا تہا عہد جوانی مگر گزر بہی گیا,kaḍā thā ahdejavānī magar guzar bhī gayā
جسے بہلا نہ سکا اس کو یاد کیا رکہتا,jise bhulā na sakā us ko yaad kyā rakhtā
جو نام لب پہ رہا ذہن سے اتر بہی گیا,jo naam lab pe rahā zehn se utar bhī gayā
پہٹی پہٹی ہوئی انکہوں سے یوں نہ دیکہ مجہے,phatī phatī huī āñkhoñ se yuuñ na dekh mujhe
تجہے تلاش ہے جس شخص کی وہ مر بہی گیا,tujhe talāsh hai jis shaḳhs kī vo mar bhī gayā
مگر فلک کو عداوت اسی کے گہر سے تہی,magar falak ko adāvat usī ke ghar se thī
جہاں فرازؔ نہ تہا سیل غم ادہر بہی گیا,jahāñ farāz na thā saileġham udhar bhī gayā
ہوئی ہے شام تو انکہوں میں بس گیا پہر تو,huī hai shaam to āñkhoñ meñ bas gayā phir tū
کہاں گیا ہے مرے شہر کے مسافر تو,kahāñ gayā hai mire shahr ke musāfir tū
مری مثال کہ اک نخل خشک صحرا ہوں,mirī misāl ki ik naḳhleḳhushkesahrā huuñ
ترا خیال کہ شاخ چمن کا طائر تو,tirā ḳhayāl ki shāḳhechaman kā taair tū
میں جانتا ہوں کہ دنیا تجہے بدل دے گی,maiñ jāntā huuñ ki duniyā tujhe badal degī
میں مانتا ہوں کہ ایسا نہیں بظاہر تو,maiñ māntā huuñ ki aisā nahīñ bazāhir tū
ہنسی خوشی سے بچہڑ جا اگر بچہڑنا ہے,hañsīḳhushī se bichhaḍ jā agar bichhaḍnā hai
یہ ہر مقام پہ کیا سوچتا ہے اخر تو,ye har maqām pe kyā sochtā hai āḳhir tū
فضا اداس ہے رت مضمحل ہے میں چپ ہوں,fazā udaas hai rut muzmahil hai maiñ chup huuñ
جو ہو سکے تو چلا ا کسی کی خاطر تو,jo ho sake to chalā aa kisī kī ḳhātir tū
فرازؔ تو نے اسے مشکلوں میں ڈال دیا,farāz tū ne use mushkiloñ meñ daal diyā
زمانہ صاحب زر اور صرف شاعر تو,zamāna sāhabezar aur sirf shāer tū
اس قدر مسلسل تہیں شدتیں جدائی کی,is qadar musalsal thiiñ shiddateñ judāī kī
اج پہلی بار اس سے میں نے بے وفائی کی,aaj pahlī baar us se maiñ ne bevafāī kī
ورنہ اب تلک یوں تہا خواہشوں کی بارش میں,varna ab talak yuuñ thā ḳhvāhishoñ kī bārish meñ
یا تو ٹوٹ کر رویا یا غزل سرائی کی,yā to tuut kar royā yā ġhazalsarāī kī
تج دیا تہا کل جن کو ہم نے تیری چاہت میں,taj diyā thā kal jin ko ham ne terī chāhat meñ
اج ان سے مجبورا تازہ اشنائی کی,aaj un se majbūran taaza āshnāī kī
ہو چلا تہا جب مجہ کو اختلاف اپنے سے,ho chalā thā jab mujh ko iḳhtilāf apne se
تو نے کس گہڑی ظالم میری ہم نوائی کی,tū ne kis ghaḍī zālim merī hamnavāī kī
ترک کر چکے قاصد کوئے نامراداں کو,tark kar chuke qāsid kūenāmurādāñ ko
کون اب خبر لاوے شہر اشنائی کی,kaun ab ḳhabar laave shahreāshnāī kī
طنز و طعنہ و تہمت سب ہنر ہیں ناصح کے,tanz o taana o tohmat sab hunar haiñ nāseh ke
اپ سے کوئی پوچہے ہم نے کیا برائی کی,aap se koī pūchhe ham ne kyā burāī kī
پہر قفس میں شور اٹہا قیدیوں کا اور صیاد,phir qafas meñ shor utthā qaidiyoñ kā aur sayyād
دیکہنا اڑا دے گا پہر خبر رہائی کی,dekhnā uḍā degā phir ḳhabar rihāī kī
دکہ ہوا جب اس در پر کل فرازؔ کو دیکہا,dukh huā jab us dar par kal farāz ko dekhā
لاکہ عیب تہے اس میں خو نہ تہی گدائی کی,laakh aib the us meñ ḳhū na thī gadāī kī
اس سے پہلے کہ بے وفا ہو جائیں,is se pahle ki bevafā ho jaaeñ
کیوں نہ اے دوست ہم جدا ہو جائیں,kyuuñ na ai dost ham judā ho jaaeñ
تو بہی ہیرے سے بن گیا پتہر,tū bhī hiire se ban gayā patthar
ہم بہی کل جانے کیا سے کیا ہو جائیں,ham bhī kal jaane kyā se kyā ho jaaeñ
تو کہ یکتا تہا بے شمار ہوا,tū ki yaktā thā beshumār huā
ہم بہی ٹوٹیں تو جا بجا ہو جائیں,ham bhī tūteñ to jābajā ho jaaeñ
ہم بہی مجبوریوں کا عذر کریں,ham bhī majbūriyoñ kā uzr kareñ
پہر کہیں اور مبتلا ہو جائیں,phir kahīñ aur mubtalā ho jaaeñ
ہم اگر منزلیں نہ بن پائے,ham agar manzileñ na ban paae
منزلوں تک کا راستا ہو جائیں,manziloñ tak kā rāstā ho jaaeñ
دیر سے سوچ میں ہیں پروانے,der se soch meñ haiñ parvāne
راکہ ہو جائیں یا ہوا ہو جائیں,raakh ho jaaeñ yā havā ho jaaeñ
عشق بہی کہیل ہے نصیبوں کا,ishq bhī khel hai nasīboñ kā
خاک ہو جائیں کیمیا ہو جائیں,ḳhaak ho jaaeñ kīmiyā ho jaaeñ
اب کے گر تو ملے تو ہم تجہ سے,ab ke gar tū mile to ham tujh se
ایسے لپٹیں تری قبا ہو جائیں,aise lipteñ tirī qabā ho jaaeñ
بندگی ہم نے چہوڑ دی ہے فرازؔ,bandagī ham ne chhoḍ dī hai farāz
کیا کریں لوگ جب خدا ہو جائیں,kyā kareñ log jab ḳhudā ho jaaeñ
جب بہی دل کہول کے روئے ہوں گے,jab bhī dil khol ke roe hoñge
لوگ ارام سے سوئے ہوں گے,log ārām se soe hoñge
بعض اوقات بہ مجبوریٔ دل,baaz auqāt bamajbūrīedil
ہم تو کیا اپ بہی روئے ہوں گے,ham to kyā aap bhī roe hoñge
صبح تک دست صبا نے کیا کیا,subh tak dastesabā ne kyā kyā
پہول کانٹوں میں پروئے ہوں گے,phuul kāñtoñ meñ piroe hoñge
وہ سفینے جنہیں طوفاں نہ ملے,vo safīne jinheñ tūfāñ na mile
ناخداؤں نے ڈبوئے ہوں گے,nāḳhudāoñ ne duboe hoñge
رات بہر ہنستے ہوئے تاروں نے,raat bhar hañste hue tāroñ ne
ان کے عارض بہی بہگوئے ہوں گے,un ke aariz bhī bhigoe hoñge
کیا عجب ہے وہ ملے بہی ہوں فرازؔ,kyā ajab hai vo mile bhī hoñ farāz
ہم کسی دہیان میں کہوئے ہوں گے,ham kisī dhyān meñ khoe hoñge
جس سمت بہی دیکہوں نظر اتا ہے کہ تم ہو,jis samt bhī dekhūñ nazar aatā hai ki tum ho
اے جان جہاں یہ کوئی تم سا ہے کہ تم ہو,ai jānejahāñ ye koī tum sā hai ki tum ho
یہ خواب ہے خوشبو ہے کہ جہونکا ہے کہ پل ہے,ye ḳhvāb hai ḳhushbū hai ki jhoñkā hai ki pal hai
یہ دہند ہے بادل ہے کہ سایا ہے کہ تم ہو,ye dhund hai bādal hai ki saayā hai ki tum ho
اس دید کی ساعت میں کئی رنگ ہیں لرزاں,is diid kī saaat meñ kaī rañg haiñ larzāñ
میں ہوں کہ کوئی اور ہے دنیا ہے کہ تم ہو,maiñ huuñ ki koī aur hai duniyā hai ki tum ho
دیکہو یہ کسی اور کی انکہیں ہیں کہ میری,dekho ye kisī aur kī āñkheñ haiñ ki merī
دیکہوں یہ کسی اور کا چہرہ ہے کہ تم ہو,dekhūñ ye kisī aur kā chehra hai ki tum ho
یہ عمر گریزاں کہیں ٹہہرے تو یہ جانوں,ye umregurezāñ kahīñ thahre to ye jānūñ
ہر سانس میں مجہ کو یہی لگتا ہے کہ تم ہو,har saañs meñ mujh ko yahī lagtā hai ki tum ho
ہر بزم میں موضوع سخن دل زدگاں کا,har bazm meñ mauzūesuḳhan dilzadagāñ kā
اب کون ہے شیریں ہے کہ لیلی ہے کہ تم ہو,ab kaun hai shīrīñ hai ki lailā hai ki tum ho
اک درد کا پہیلا ہوا صحرا ہے کہ میں ہوں,ik dard kā phailā huā sahrā hai ki maiñ huuñ
اک موج میں ایا ہوا دریا ہے کہ تم ہو,ik mauj meñ aayā huā dariyā hai ki tum ho
وہ وقت نہ ائے کہ دل زار بہی سوچے,vo vaqt na aae ki dilezār bhī soche
اس شہر میں تنہا کوئی ہم سا ہے کہ تم ہو,is shahr meñ tanhā koī ham sā hai ki tum ho
اباد ہم اشفتہ سروں سے نہیں مقتل,ābād ham āshuftasaroñ se nahīñ maqtal
یہ رسم ابہی شہر میں زندہ ہے کہ تم ہو,ye rasm abhī shahr meñ zinda hai ki tum ho
اے جان فرازؔ اتنی بہی توفیق کسے تہی,ai jānefarāz itnī bhī taufīq kise thī
ہم کو غم ہستی بہی گوارا ہے کہ تم ہو,ham ko ġhamehastī bhī gavārā hai ki tum ho
جو غیر تہے وہ اسی بات پر ہمارے ہوئے,jo ġhair the vo isī baat par hamāre hue
کہ ہم سے دوست بہت بے خبر ہمارے ہوئے,ki ham se dost bahut beḳhabar hamāre hue
کسے خبر وہ محبت تہی یا رقابت تہی,kise ḳhabar vo mohabbat thī yā raqābat thī
بہت سے لوگ تجہے دیکہ کر ہمارے ہوئے,bahut se log tujhe dekh kar hamāre hue
اب اک ہجوم شکستہ دلاں ہے ساتہ اپنے,ab ik hujūmeshikastadilāñ hai saath apne
جنہیں کوئی نہ ملا ہم سفر ہمارے ہوئے,jinheñ koī na milā hamsafar hamāre hue
کسی نے غم تو کسی نے مزاج غم بخشا,kisī ne ġham to kisī ne mizājeġham baḳhshā
سب اپنی اپنی جگہ چارہ گر ہمارے ہوئے,sab apnī apnī jagah chāragar hamāre hue
بجہا کے طاق کی شمعیں نہ دیکہ تاروں کو,bujhā ke taaq kī shameñ na dekh tāroñ ko
اسی جنوں میں تو برباد گہر ہمارے ہوئے,isī junūñ meñ to barbād ghar hamāre hue
وہ اعتماد کہاں سے فرازؔ لائیں گے,vo etimād kahāñ se farāz lāeñge
کسی کو چہوڑ کے وہ اب اگر ہمارے ہوئے,kisī ko chhoḍ ke vo ab agar hamāre hue
جز ترے کوئی بہی دن رات نہ جانے میرے,juz tire koī bhī din raat na jaane mere
تو کہاں ہے مگر اے دوست پرانے میرے,tū kahāñ hai magar ai dost purāne mere
تو بہی خوشبو ہے مگر میرا تجسس بے کار,tū bhī ḳhushbū hai magar merā tajassus bekār
برگ اوارہ کی مانند ٹہکانے میرے,bargeāvāra kī mānind thikāne mere
شمع کی لو تہی کہ وہ تو تہا مگر ہجر کی رات,shama kī lau thī ki vo tū thā magar hijr kī raat
دیر تک روتا رہا کوئی سرہانے میرے,der tak rotā rahā koī sirhāne mere
خلق کی بے خبری ہے کہ مری رسوائی,ḳhalq kī beḳhabarī hai ki mirī rusvāī
لوگ مجہ کو ہی سناتے ہیں فسانے میرے,log mujh ko hī sunāte haiñ fasāne mere
لٹ کے بہی خوش ہوں کہ اشکوں سے بہرا ہے دامن,lut ke bhī ḳhush huuñ ki ashkoñ se bharā hai dāman
دیکہ غارت گر دل یہ بہی خزانے میرے,dekh ġhāratgaredil ye bhī ḳhazāne mere
اج اک اور برس بیت گیا اس کے بغیر,aaj ik aur baras biit gayā us ke baġhair
جس کے ہوتے ہوئے ہوتے تہے زمانے میرے,jis ke hote hue hote the zamāne mere
کاش تو بہی میری اواز کہیں سنتا ہو,kaash tū bhī merī āvāz kahīñ suntā ho
پہر پکارا ہے تجہے دل کی صدا نے میرے,phir pukārā hai tujhe dil kī sadā ne mere
کاش تو بہی کبہی ا جائے مسیحائی کو,kaash tū bhī kabhī aa jaae masīhāī ko
لوگ اتے ہیں بہت دل کو دکہانے میرے,log aate haiñ bahut dil ko dukhāne mere
کاش اوروں کی طرح میں بہی کبہی کہہ سکتا,kaash auroñ kī tarah maiñ bhī kabhī kah saktā
بات سن لی ہے مری اج خدا نے میرے,baat sun lī hai mirī aaj ḳhudā ne mere
تو ہے کس حال میں اے زود فراموش مرے,tū hai kis haal meñ ai zūdfarāmosh mire
مجہ کو تو چہین لیا عہد وفا نے میرے,mujh ko to chhīn liyā ahdevafā ne mere
چارہ گر یوں تو بہت ہیں مگر اے جان فرازؔ,chārāgar yuuñ to bahut haiñ magar ai jānefarāz
جز ترے اور کوئی زخم نہ جانے میرے,juz tire aur koī zaḳhm na jaane mere
کروں نہ یاد مگر کس طرح بہلاؤں اسے,karūñ na yaad magar kis tarah bhulāūñ use
غزل بہانہ کروں اور گنگناؤں اسے,ġhazal bahāna karūñ aur gungunāūñ use
وہ خار خار ہے شاخ گلاب کی مانند,vo ḳhaar ḳhaar hai shāḳhegulāb kī mānind
میں زخم زخم ہوں پہر بہی گلے لگاؤں اسے,maiñ zaḳhm zaḳhm huuñ phir bhī gale lagāūñ use
یہ لوگ تذکرے کرتے ہیں اپنے لوگوں کے,ye log tazkire karte haiñ apne logoñ ke
میں کیسے بات کروں اب کہاں سے لاؤں اسے,maiñ kaise baat karūñ ab kahāñ se lāūñ use
مگر وہ زود فراموش زود رنج بہی ہے,magar vo zūdfarāmosh zūdranj bhī hai
کہ روٹہ جائے اگر یاد کچہ دلاؤں اسے,ki ruuth jaae agar yaad kuchh dilāūñ use
وہی جو دولت دل ہے وہی جو راحت جاں,vahī jo daulatedil hai vahī jo rāhatejāñ
تمہاری بات پہ اے ناصحو گنواؤں اسے,tumhārī baat pe ai nāseho gañvāūñ use
جو ہم سفر سر منزل بچہڑ رہا ہے فرازؔ,jo hamsafar saremanzil bichhaḍ rahā hai farāz
عجب نہیں ہے اگر یاد بہی نہ اؤں اسے,ajab nahīñ hai agar yaad bhī na aauuñ use
کٹہن ہے راہ گزر تہوڑی دور ساتہ چلو,kathin hai rāhguzar thoḍī duur saath chalo
بہت کڑا ہے سفر تہوڑی دور ساتہ چلو,bahut kaḍā hai safar thoḍī duur saath chalo
تمام عمر کہاں کوئی ساتہ دیتا ہے,tamām umr kahāñ koī saath detā hai
یہ جانتا ہوں مگر تہوڑی دور ساتہ چلو,ye jāntā huuñ magar thoḍī duur saath chalo
نشے میں چور ہوں میں بہی تمہیں بہی ہوش نہیں,nashe meñ chuur huuñ maiñ bhī tumheñ bhī hosh nahīñ
بڑا مزہ ہو اگر تہوڑی دور ساتہ چلو,baḍā maza ho agar thoḍī duur saath chalo
یہ ایک شب کی ملاقات بہی غنیمت ہے,ye ek shab kī mulāqāt bhī ġhanīmat hai
کسے ہے کل کی خبر تہوڑی دور ساتہ چلو,kise hai kal kī ḳhabar thoḍī duur saath chalo
ابہی تو جاگ رہے ہیں چراغ راہوں کے,abhī to jaag rahe haiñ charāġh rāhoñ ke
ابہی ہے دور سحر تہوڑی دور ساتہ چلو,abhī hai duur sahar thoḍī duur saath chalo
طواف منزل جاناں ہمیں بہی کرنا ہے,tavāfemanzilejānāñ hameñ bhī karnā hai
فرازؔ تم بہی اگر تہوڑی دور ساتہ چلو,farāz tum bhī agar thoḍī duur saath chalo
خاموش ہو کیوں داد جفا کیوں نہیں دیتے,ḳhāmosh ho kyuuñ dādejafā kyuuñ nahīñ dete
بسمل ہو تو قاتل کو دعا کیوں نہیں دیتے,bismil ho to qātil ko duā kyuuñ nahīñ dete
وحشت کا سبب روزن زنداں تو نہیں ہے,vahshat kā sabab rauzanezindāñ to nahīñ hai
مہر و مہ و انجم کو بجہا کیوں نہیں دیتے,mehr o mah o anjum ko bujhā kyuuñ nahīñ dete
اک یہ بہی تو انداز علاج غم جاں ہے,ik ye bhī to andāzeilājeġhamejāñ hai
اے چارہ گرو درد بڑہا کیوں نہیں دیتے,ai chāragaro dard baḍhā kyuuñ nahīñ dete
منصف ہو اگر تم تو کب انصاف کرو گے,munsif ho agar tum to kab insāf karoge
مجرم ہیں اگر ہم تو سزا کیوں نہیں دیتے,mujrim haiñ agar ham to sazā kyuuñ nahīñ dete
رہزن ہو تو حاضر ہے متاع دل و جاں بہی,rahzan ho to hāzir hai matāedilojāñ bhī
رہبر ہو تو منزل کا پتہ کیوں نہیں دیتے,rahbar ho to manzil kā pata kyuuñ nahīñ dete
کیا بیت گئی اب کے فرازؔ اہل چمن پر؟,kyā biit gaī ab ke farāz ahlechaman par
